Date,Close/Last,
04/29/2020,$195.30,1
04/30/2020,$193.70,2
05/01/2020,$189.46,3
05/04/2020,$186.82,4
05/05/2020,$189.00,5
05/06/2020,$182.51,6
05/07/2020,$182.49,7
05/08/2020,$180.95,8
05/11/2020,$179.40,9
05/12/2020,$180.61,10
05/13/2020,$177.54,11
05/14/2020,$177.84,12
05/15/2020,$176.78,13
05/18/2020,$180.92,14
05/19/2020,$179.89,15
05/20/2020,$179.18,16
05/21/2020,$184.12,17
05/22/2020,$180.45,18
05/26/2020,$184.77,19
05/27/2020,$192.95,20
05/28/2020,$196.73,21
05/29/2020,$199.45,22
06/01/2020,$196.12,23
06/02/2020,$194.57,24
06/03/2020,$200.61,25
06/04/2020,$199.48,26
06/05/2020,$204.87,27
06/08/2020,$209.66,28
06/09/2020,$208.28,29
06/10/2020,$206.70,30
06/11/2020,$196.51,31
06/12/2020,$193.15,32
06/15/2020,$188.10,33
06/16/2020,$191.01,34
06/17/2020,$191.43,35
06/18/2020,$188.25,36
06/19/2020,$182.24,37
06/22/2020,$184.20,38
06/23/2020,$177.25,39
06/24/2020,$168.24,40
06/25/2020,$170.79,41
06/26/2020,$169.61,42
06/29/2020,$174.80,43
06/30/2020,$169.67,44
07/01/2020,$170.49,45
07/02/2020,$172.00,46
07/06/2020,$174.00,47
07/07/2020,$167.68,48
07/08/2020,$164.65,49
07/09/2020,$159.80,50
07/10/2020,$162.51,51
07/13/2020,$162.43,52
07/14/2020,$162.36,53
07/15/2020,$166.83,54
07/16/2020,$167.03,55
07/17/2020,$169.96,56
07/20/2020,$167.10,57
07/21/2020,$168.89,58
07/22/2020,$173.34,59
07/23/2020,$172.67,60
07/24/2020,$171.24,61
07/27/2020,$167.55,62
07/28/2020,$171.40,63
07/29/2020,$173.00,64
07/30/2020,$173.23,65
07/31/2020,$168.33,66
08/03/2020,$167.88,67
08/04/2020,$167.29,68
08/05/2020,$172.14,69
08/06/2020,$173.67,70
08/07/2020,$175.64,71
08/10/2020,$179.18,72
08/11/2020,$180.64,73
08/12/2020,$183.07,74
08/13/2020,$180.97,75
08/14/2020,$182.58,76
08/17/2020,$181.55,77
08/18/2020,$180.98,78
08/19/2020,$181.18,79
08/20/2020,$178.96,80
08/21/2020,$178.59,81
08/24/2020,$182.53,82
08/25/2020,$181.02,83
08/26/2020,$179.30,84
08/27/2020,$181.17,85
08/28/2020,$179.89,86
08/31/2020,$180.74,87
09/01/2020,$177.72,88
09/02/2020,$182.94,89
09/03/2020,$182.11,90
09/04/2020,$181.73,91
09/08/2020,$179.61,92
09/09/2020,$180.84,93
