Date,Close/Last,
04/29/2020,$331.83,1
04/30/2020,$330.67,2
05/01/2020,$328.06,3
05/04/2020,$322.56,4
05/05/2020,$328.74,5
05/06/2020,$323.03,6
05/07/2020,$324.14,7
05/08/2020,$327.65,8
05/11/2020,$327.47,9
05/12/2020,$325.51,10
05/13/2020,$320.46,11
05/14/2020,$311.93,12
05/15/2020,$321.63,13
05/18/2020,$331.17,14
05/19/2020,$327.03,15
05/20/2020,$320.40,16
05/21/2020,$328.11,17
05/22/2020,$325.91,18
05/26/2020,$324.19,19
05/27/2020,$342.98,20
05/28/2020,$342.73,21
05/29/2020,$335.20,22
06/01/2020,$330.67,23
06/02/2020,$327.06,24
06/03/2020,$335.96,25
06/04/2020,$335.74,26
06/05/2020,$342.10,27
06/08/2020,$348.79,28
06/09/2020,$342.53,29
06/10/2020,$341.25,30
06/11/2020,$320.99,31
06/12/2020,$317.68,32
06/15/2020,$313.62,33
06/16/2020,$324.74,34
06/17/2020,$322.29,35
06/18/2020,$317.83,36
06/19/2020,$312.66,37
06/22/2020,$315.56,38
06/23/2020,$307.10,39
06/24/2020,$301.91,40
06/25/2020,$301.75,41
06/26/2020,$301.86,42
06/29/2020,$309.02,43
06/30/2020,$307.44,44
07/01/2020,$308.14,45
07/02/2020,$309.97,46
07/06/2020,$312.40,47
07/07/2020,$304.47,48
07/08/2020,$301.10,49
07/09/2020,$285.95,50
07/10/2020,$292.00,51
07/13/2020,$292.35,52
07/14/2020,$295.55,53
07/15/2020,$300.76,54
07/16/2020,$303.65,55
07/17/2020,$306.84,56
07/20/2020,$301.49,57
07/21/2020,$308.19,58
07/22/2020,$316.00,59
07/23/2020,$313.06,60
07/24/2020,$312.69,61
07/27/2020,$308.02,62
07/28/2020,$312.87,63
07/29/2020,$315.26,64
07/30/2020,$326.01,65
07/31/2020,$325.01,66
08/03/2020,$323.59,67
08/04/2020,$325.01,68
08/05/2020,$329.71,69
08/06/2020,$326.34,70
08/07/2020,$329.27,71
08/10/2020,$335.73,72
08/11/2020,$341.85,73
08/12/2020,$339.40,74
08/13/2020,$338.62,75
